-2.513,14.000,297.127
-0.676,13.300,79.415
1.280,12.635,123.790
-1.714,12.003,161.894
1.379,11.403,106.237
-1.689,10.833,132.042
1.415,10.291,86.486
-1.672,9.777,108.247
1.437,9.288,69.547
-1.660,8.823,89.024
1.452,8.382,55.477
-1.651,7.963,73.406
1.464,7.565,43.926
-1.643,7.187,60.678
1.474,6.827,34.502
-1.637,6.486,50.282
1.482,6.162,26.845
-1.631,5.854,41.774
1.488,5.561,20.644
-1.626,5.283,34.801
1.494,5.019,15.634
-1.622,4.768,29.076
1.499,4.529,11.600
-1.618,4.303,24.369
1.504,4.088,8.359
-1.614,3.883,20.490
1.508,3.689,5.765
-1.611,3.505,17.289
1.512,3.330,3.697
-1.608,3.163,14.641
1.515,3.005,2.054
-1.605,2.855,12.445
1.518,2.712,0.757
-1.603,2.576,10.620
1.521,2.448,-0.262
-1.600,2.325,9.098
1.523,2.209,-1.055
-1.598,2.098,7.825
1.526,1.994,-1.666
-1.596,1.894,6.757
1.528,1.799,-2.131
-1.594,1.709,5.857
1.530,1.624,-2.479
-1.593,1.543,5.095
1.532,1.465,-2.734
-1.591,1.392,4.448
1.533,1.323,-2.913
-1.589,1.256,3.896
1.535,1.194,-3.033
-1.588,1.134,3.422
1.537,1.077,-3.106
-1.587,1.023,3.013
1.538,0.972,-3.142
-1.585,0.924,2.658
1.539,0.877,-3.149
-1.584,0.834,2.348
1.541,0.792,-3.134
-1.583,0.752,2.077
1.542,0.715,-3.102
-1.582,0.679,1.837
1.543,0.645,-3.057
-1.581,0.613,1.624
1.544,0.582,-3.003
-1.580,0.553,1.435
1.545,0.525,-2.942
-1.579,0.499,1.264
1.546,0.474,-2.877
-1.578,0.450,1.111
1.547,0.428,-2.809
-1.577,0.406,0.971
1.548,0.386,-2.739
-1.576,0.367,0.845
1.548,0.349,-2.669
-1.576,0.331,0.729
1.549,0.315,-2.599
-1.575,0.299,0.622
1.550,0.284,-2.530
-1.574,0.270,0.524
1.551,0.256,-2.462
-1.574,0.243,0.433
1.551,0.231,-2.396
-1.573,0.220,0.349
1.552,0.209,-2.332
-1.573,0.198,0.270
1.552,0.188,-2.270
-1.572,0.179,0.197
1.553,0.170,-2.211
-1.572,0.161,0.129
1.553,0.153,-2.154
-1.571,0.146,0.065
1.554,0.138,-2.099
-1.571,0.132,0.005
1.554,0.125,-2.046
-1.570,0.119,-0.051
1.555,0.113,-1.996
-1.570,0.107,-0.104
1.555,0.102,-1.948
-1.569,0.097,-0.154
1.556,0.092,-1.902
-1.569,0.087,-0.201
