-2.513,14.000,297.127
4.834,11.200,110.271
22.696,6.944,143.393
27.786,2.491,116.608
22.191,-1.214,123.975
29.562,-3.638,48.154
48.667,-4.656,25.100
64.473,-4.458,28.641
80.665,-3.424,-54.099
84.785,-1.994,128.886
82.195,-0.566,-108.564
91.985,0.575,80.107
97.524,1.282,125.518
91.029,1.534,126.983
89.599,1.409,9.942
84.056,1.037,91.047
85.351,0.562,108.278
98.922,0.107,4.766
122.694,-0.241,123.209
149.231,-0.444,-0.482
177.124,-0.501,-45.642
190.739,-0.442,78.082
191.293,-0.311,117.771
193.716,-0.155,-60.790
184.657,-0.011,95.814
169.717,0.095,-124.674
165.307,0.152,45.629
172.572,0.163,122.122
179.596,0.138,108.190
192.593,0.092,72.100
205.383,0.041,47.664
218.442,-0.004,-12.611
239.653,-0.036,-78.454
247.422,-0.051,90.274
253.723,-0.052,91.819
247.176,-0.043,66.553
234.040,-0.027,-1.117
212.938,-0.011,-96.405
203.186,0.004,65.650
198.934,0.013,66.147
191.082,0.017,106.227
171.852,0.017,74.145
161.670,0.013,15.201
140.128,0.008,40.144
108.518,0.003,16.638
92.560,-0.002,14.626
73.993,-0.005,-20.622
48.905,-0.006,-26.042
14.711,-0.005,67.817
-20.420,-0.004,-0.028
-39.791,-0.002,62.200
-49.407,-0.001,-81.705
-45.583,0.001,3.684
-54.184,0.002,89.102
-71.763,0.002,110.074
-92.231,0.002,53.927
-118.670,0.001,-94.741
-153.566,0.001,116.467
-180.329,0.000,38.444
-207.042,-0.000,-119.313
-243.388,-0.001,10.611
-280.506,-0.001,77.309
-316.979,-0.001,118.583
-360.878,-0.000,114.856
-412.712,-0.000,49.488
-451.395,0.000,-68.143
-477.806,0.000,-120.002
-512.596,0.000,108.695
-548.910,0.000,80.773
-586.448,0.000,64.327
-632.392,0.000,74.587
-661.347,0.000,5.270
-680.339,-0.000,22.839
-697.468,-0.000,-124.926
-709.708,-0.000,-119.710
-732.766,-0.000,89.334
-759.118,-0.000,-51.324
-789.663,-0.000,54.050
-812.981,-0.000,96.288
-846.368,0.000,35.910
-875.313,0.000,46.265
-897.980,0.000,-108.775
-907.626,0.000,119.619
-927.076,0.000,119.185
-933.813,0.000,90.602
-946.305,0.000,96.792
-950.093,-0.000,-29.573
-965.997,-0.000,5.317
-978.640,-0.000,-4.173
-995.068,-0.000,85.537
-1022.175,-0.000,50.200
-1051.686,-0.000,91.653
-1086.096,-0.000,-78.222
-1129.238,0.000,20.538
-1175.204,0.000,-121.156
-1225.348,0.000,-123.992
-1258.523,0.000,38.757
-1284.359,0.000,106.427
-1299.471,0.000,-51.204
-1314.504,0.000,-31.217
